start station id,TotalRides,AvgDuration,SumDuration,Start Station ID,Start Station Name,Start Station Lat,Start Station Lng,Data Month
264.0,964,834.2738589211618,804240,264.0,Maiden Ln & Pearl St,40.70706456,-74.00731853,Jan2018
265.0,1804,623.0127494456763,1123915,265.0,Stanton St & Chrystie St,40.72229346,-73.99147535,Jan2018
266.0,785,728.3019108280255,571717,266.0,Avenue D & E 8 St,40.72368361,-73.97574813,Jan2018
267.0,1804,696.4146341463414,1256332,267.0,Broadway & W 36 St,40.75097711,-73.98765428,Jan2018
268.0,1630,731.1815950920245,1191826,268.0,Howard St & Centre St,40.71910537,-73.99973337,Jan2018
270.0,983,4965.208545269583,4880800,270.0,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,Jan2018
274.0,755,687.7907284768212,519282,274.0,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,Jan2018
275.0,449,609.1069042316259,273489,275.0,Washington Ave & Greene Ave,40.68650065,-73.96563307,Jan2018
276.0,838,627.1837708830549,525580,276.0,Duane St & Greenwich St,40.71748752,-74.0104554,Jan2018
278.0,248,640.9879032258065,158965,278.0,Concord St & Bridge St,40.69766564,-73.98476437,Jan2018
279.0,1050,881.9942857142858,926094,279.0,Peck Slip & Front St,40.707873,-74.00166999999999,Jan2018
280.0,1360,567.1470588235294,771320,280.0,E 10 St & 5 Ave,40.73331967,-73.99510132,Jan2018
281.0,2423,1124.1163846471316,2723734,281.0,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,Jan2018
282.0,564,746.4751773049645,421012,282.0,Kent Ave & S 11 St,40.7076449441757,-73.96841526031494,Jan2018
284.0,3561,582.4532434709351,2074116,284.0,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,Jan2018
285.0,4223,665.5801562869998,2810745,285.0,Broadway & E 14 St,40.73454567,-73.99074142,Jan2018
289.0,269,767.0706319702603,206342,289.0,Monroe St & Classon Ave,40.684568299999995,-73.95881081,Jan2018
291.0,913,663.7962760131435,606046,291.0,Madison St & Montgomery St,40.713126,-73.984844,Jan2018
293.0,3616,617.5212942477876,2232957,293.0,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,Jan2018
295.0,1292,663.1811145510836,856830,295.0,Pike St & E Broadway,40.71406667,-73.99293911,Jan2018
296.0,1494,747.3547523427042,1116548,296.0,Division St & Bowery,40.71413089,-73.99704679999999,Jan2018
297.0,2508,549.9270334928229,1379217,297.0,E 15 St & 3 Ave,40.734232,-73.986923,Jan2018
301.0,1967,686.5063548551093,1350358,301.0,E 2 St & Avenue B,40.72217444,-73.98368779,Jan2018
302.0,1191,752.2057094878254,895877,302.0,Avenue D & E 3 St,40.72082834,-73.97793172,Jan2018
303.0,1356,966.042772861357,1309954,303.0,Mercer St & Spring St,40.72362738,-73.99949601,Jan2018
304.0,1474,1036.703527815468,1528101,304.0,Broadway & Battery Pl,40.70463334,-74.01361706,Jan2018
305.0,1687,792.9318316538233,1337676,305.0,E 58 St & 3 Ave,40.76095756,-73.96724467,Jan2018
306.0,1006,702.0467196819086,706259,306.0,Cliff St & Fulton St_1,40.70823502,-74.00530063,Jan2018
307.0,2191,670.5367412140575,1469146,307.0,Canal St & Rutgers St,40.71427487,-73.98990025,Jan2018
308.0,999,669.4394394394394,668770,308.0,St James Pl & Oliver St,40.71307916,-73.99851193,Jan2018
309.0,1145,767.2497816593886,878501,309.0,Murray St & West St,40.7149787,-74.013012,Jan2018
310.0,811,708.2194821208385,574366,310.0,State St & Smith St,40.68926942,-73.98912867,Jan2018
311.0,1266,616.4881516587677,780474,311.0,Norfolk St & Broome St,40.7172274,-73.98802084,Jan2018
312.0,2061,662.5366327025715,1365488,312.0,Allen St & Stanton St,40.722055,-73.989111,Jan2018
313.0,591,833.1945854483926,492418,313.0,Washington Ave & Park Ave,40.69610226,-73.96751037,Jan2018
314.0,813,616.5940959409594,501291,314.0,Cadman Plaza West & Montague St,40.69383,-73.990539,Jan2018
315.0,1395,1267.4759856630824,1768129,315.0,South St & Gouverneur Ln,40.70355377,-74.00670227,Jan2018
316.0,118,686.0,80948,316.0,Fulton St & William St,40.70955958,-74.00653609,Jan2018
317.0,1860,642.5806451612904,1195200,317.0,E 6 St & Avenue B,40.72453734,-73.98185424,Jan2018
319.0,1563,849.3793985924505,1327580,319.0,Fulton St & Broadway,40.711065999999995,-74.009447,Jan2018
320.0,1018,677.8673870333988,690069,320.0,Leonard St & Church St,40.717571,-74.005549,Jan2018
321.0,760,1156.3263157894737,878808,321.0,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,Jan2018
322.0,470,685.8106382978723,322331,322.0,Clinton St & Tillary St,40.696191999999996,-73.991218,Jan2018
323.0,1288,779.5892857142857,1004111,323.0,Lawrence St & Willoughby St,40.69236178,-73.98631746,Jan2018
324.0,895,558.0603351955307,499464,324.0,DeKalb Ave & Hudson Ave,40.689888,-73.981013,Jan2018
325.0,1557,568.4161849710982,885024,325.0,E 19 St & 3 Ave,40.73624527,-73.98473765,Jan2018
326.0,2033,651.1072306935563,1323701,326.0,E 11 St & 1 Ave,40.72953837,-73.98426726,Jan2018
327.0,2140,862.9602803738318,1846735,327.0,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,Jan2018
328.0,1566,653.963601532567,1024107,328.0,Watts St & Greenwich St,40.72405549,-74.00965965,Jan2018
330.0,1004,645.1583665338645,647739,330.0,Reade St & Broadway,40.71450451,-74.00562789,Jan2018
331.0,782,698.0306905370844,545860,331.0,Pike St & Monroe St,40.71173107,-73.99193043,Jan2018
332.0,631,926.2091917591125,584438,332.0,Cherry St,40.71219906,-73.97948148,Jan2018
334.0,2536,595.9814668769716,1511409,334.0,W 20 St & 7 Ave,40.74238787,-73.99726235,Jan2018
335.0,1794,566.9409141583054,1017092,335.0,Washington Pl & Broadway,40.72903917,-73.99404649,Jan2018
336.0,1928,615.3724066390041,1186438,336.0,Sullivan St & Washington Sq,40.73047747,-73.99906065,Jan2018
337.0,796,859.9886934673367,684551,337.0,Old Slip & Front St,40.703799200000006,-74.00838676,Jan2018
339.0,523,779.7456978967496,407807,339.0,Avenue D & E 12 St,40.72580614,-73.97422494,Jan2018
340.0,919,665.3329706202394,611441,340.0,Madison St & Clinton St,40.71269042,-73.98776323,Jan2018
341.0,671,883.8390461997019,593056,341.0,Stanton St & Mangin St,40.71782143,-73.97628939,Jan2018
342.0,1093,786.935956084172,860121,342.0,Columbia St & Rivington St,40.71739973,-73.98016555,Jan2018
343.0,318,1198.3867924528302,381087,343.0,Clinton Ave & Flushing Ave,40.69794,-73.96986848,Jan2018
344.0,483,656.1304347826087,316911,344.0,Monroe St & Bedford Ave,40.6851443,-73.95380904,Jan2018
345.0,1754,591.5444697833524,1037569,345.0,W 13 St & 6 Ave,40.73649403,-73.99704374,Jan2018
346.0,1727,687.5454545454545,1187391,346.0,Bank St & Hudson St,40.73652889,-74.00618026,Jan2018
347.0,1957,723.1711803781297,1415246,347.0,Greenwich St & W Houston St,40.728846000000004,-74.00859100000001,Jan2018
349.0,769,738.2392717815345,567706,349.0,Rivington St & Ridge St,40.71850211,-73.98329859,Jan2018
350.0,1322,664.8653555219364,878952,350.0,Clinton St & Grand St,40.71559509,-73.9870295,Jan2018
351.0,1000,971.377,971377,351.0,Front St & Maiden Ln,40.70530954,-74.00612572,Jan2018
353.0,498,566.6305220883534,282182,353.0,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,Jan2018
354.0,621,769.877616747182,478094,354.0,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,Jan2018
355.0,1399,741.4646175839886,1037309,355.0,Bayard St & Baxter St,40.71602118,-73.99974372,Jan2018
356.0,1036,722.0820463320464,748077,356.0,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,Jan2018
